652777.5629204403, 6816429.168959347
652777.5656028532, 6816429.159261787
652777.5701206431, 6816429.168279834
652777.5789619406, 6816429.173284644
652777.5884492939, 6816429.177826184
652777.5974718196, 6816429.1827152325
652777.6065611875, 6816429.187886602
652777.6152172697, 6816429.193015721
652777.6242900508, 6816429.19766922
652777.6342408804, 6816429.202697772
652777.6441024481, 6816429.207283227
652777.6545644337, 6816429.212069257
652777.6635304623, 6816429.216567787
652777.6740651887, 6816429.221641459
652777.684108528, 6816429.226629109
652777.6939060767, 6816429.232156782
652777.7037458653, 6816429.237824579
652777.7125450544, 6816429.242908187
652777.722380008, 6816429.248193905
652777.732124765, 6816429.25313623
652777.7417221977, 6816429.257805241
652777.7517088298, 6816429.262168286
652777.7619012175, 6816429.267182994
652777.7722017313, 6816429.272035774
652777.7812006498, 6816429.27645838
652777.7920684475, 6816429.282396932
652777.8009327846, 6816429.289151885
652777.8113922086, 6816429.295567996
652777.8215143076, 6816429.301408952
652777.8302987278, 6816429.306270742
652777.8392496674, 6816429.3110042745
652777.8503078363, 6816429.317237585
652777.8598482953, 6816429.321547517
652777.8695801566, 6816429.32531198
652777.8797302451, 6816429.3295699535
652777.8892355548, 6816429.3351801
652777.8987261476, 6816429.340564032
652777.909035208, 6816429.346505354
652777.9187842814, 6816429.35183379
652777.9284298129, 6816429.356773915
652777.9376073009, 6816429.362026373
652777.9470336532, 6816429.3673377
652777.9567399608, 6816429.372172625
652777.9673588383, 6816429.376606438
652777.9781172401, 6816429.38037523
652777.9901871545, 6816429.385418545
652778.0008699333, 6816429.3907373315
652778.0117138916, 6816429.396313878
652778.0224622525, 6816429.401541277
652778.0321828468, 6816429.4060474895
652778.0430369583, 6816429.411700211
652778.0536342468, 6816429.4172403505
652778.0648234005, 6816429.422719205
652778.07596649, 6816429.427639441
652778.0872653382, 6816429.432059869
652778.0978733574, 6816429.435326732
652778.1098417538, 6816429.440869008
652778.1191101845, 6816429.445576967
652778.128584673, 6816429.450347468
652778.1400566634, 6816429.456514763
652778.1510215483, 6816429.461911536
652778.1623187393, 6816429.468300464
652778.1713281114, 6816429.472970554
652778.1828960238, 6816429.478206374
652778.1953426506, 6816429.483739552
652778.2069703384, 6816429.488269189
652778.2158874603, 6816429.492876357
652778.2274888266, 6816429.498965045
652778.2365355403, 6816429.503600727
652778.2459647376, 6816429.508362358
652778.2557109119, 6816429.513513517
652778.2670254428, 6816429.519636308
652778.2762965345, 6816429.524882958
652778.285678878, 6816429.529702113
652778.2953594524, 6816429.53448661
652778.305303189, 6816429.539128012
652778.3147716562, 6816429.5435262825
652778.3237803617, 6816429.547997681
652778.333535204, 6816429.552981965
652778.3432585942, 6816429.557712786
652778.3530372075, 6816429.5619587805
652778.3628019702, 6816429.565886399
652778.3724052309, 6816429.570204826
652778.3820744522, 6816429.574943221
652778.3914263786, 6816429.579521092
652778.4011140086, 6816429.584147605
652778.4116575118, 6816429.588987197
652778.4219759719, 6816429.593779223
652778.4325243584, 6816429.598584254
652778.4432033974, 6816429.603552513
652778.4529868617, 6816429.609003857
652778.4632536183, 6816429.614329924
652778.4732860877, 6816429.61962046
652778.4832441608, 6816429.625157326
652778.4931629917, 6816429.630133136
652778.5029804369, 6816429.634650061
652778.513873406, 6816429.639492099
652778.5243553489, 6816429.644595125
652778.5347236398, 6816429.649991665
652778.5451687106, 6816429.65574966
652778.5553209655, 6816429.661561265
652778.5653009857, 6816429.667216962
652778.5753495491, 6816429.672606154
652778.5854013879, 6816429.677916839
652778.5956696986, 6816429.683115477
652778.6060372536, 6816429.688895919
652778.616022416, 6816429.695116902
652778.626005, 6816429.7009925665
652778.6367105743, 6816429.706612076
652778.6473271472, 6816429.71181825
652778.6573559911, 6816429.716989675
652778.667717671, 6816429.722530414
652778.67858439, 6816429.728684549
652778.689369465, 6816429.7348279
652778.7002432612, 6816429.740429619
652778.7109669946, 6816429.745503553
652778.7233172025, 6816429.751332878
652778.7347935193, 6816429.757360721
652778.746651871, 6816429.763981838
652778.7576571795, 6816429.770514092
652778.7681420344, 6816429.776530195
652778.778333808, 6816429.7819775725
652778.7884847098, 6816429.787660798
652778.7992572404, 6816429.7933582505
652778.8101083881, 6816429.799333263
652778.820358088, 6816429.805363979
652778.8319866374, 6816429.812243189
652778.8436407153, 6816429.818851962
652778.8553652382, 6816429.825525472
652778.8665213403, 6816429.832301395
652778.876843035, 6816429.8378626695
652778.8872188719, 6816429.843530556
652778.8983029671, 6816429.849972585
652778.9086248401, 6816429.855560862
652778.9196710106, 6816429.861347645
652778.9299661482, 6816429.86673735
652778.9421208942, 6816429.873224931
652778.9535380632, 6816429.879235313
652778.965221521, 6816429.885644431
652778.9752042188, 6816429.8910745755
652778.9863096052, 6816429.897273395
652778.9962226214, 6816429.902730063
652779.0084562459, 6816429.909925011
652779.0187216877, 6816429.915523763
652779.0298932994, 6816429.922187493
652779.040538668, 6816429.928243736
652779.0524333155, 6816429.93515669
652779.0633493488, 6816429.941586889
652779.075317537, 6816429.948513929
652779.0873970428, 6816429.955389144
652779.0982498691, 6816429.961478453
652779.1098991741, 6816429.968170179
652779.1213537765, 6816429.97445372
652779.1329084884, 6816429.980745676
652779.1442171565, 6816429.986538409
652779.1551485821, 6816429.992806514
652779.16769644, 6816429.999472278
652779.1797961696, 6816430.005942264
652779.1908692615, 6816430.011998414
652779.2021132762, 6816430.018404109
652779.2129603394, 6816430.024483073
652779.2223549864, 6816430.030746009
652779.233445064, 6816430.037234059
652779.2452011438, 6816430.044050974
652779.256831592, 6816430.050689435
